GEOG,TOT_POP,MEDINC,TOT_EMP_RES,year_data
Westchester,16684.0,69989.0,7536.0,2014
West Chicago,27079.0,65111.0,11663.0,2014
West Dundee,7307.0,76786.0,3488.0,2014
Western Springs,12853.0,137331.0,6193.0,2014
Westmont,25101.0,60149.0,10549.0,2014
Wheaton,53155.0,86074.0,24450.0,2014
Wheeling,37575.0,57364.0,15510.0,2014
Willowbrook,8575.0,58798.0,4231.0,2014
Willow Springs,5455.0,70972.0,2160.0,2014
Wilmette,27202.0,130088.0,10956.0,2014
Wilmington,5918.0,58488.0,2719.0,2014
Winfield,9168.0,95869.0,4971.0,2014
Winnetka,12210.0,203995.0,4223.0,2014
Winthrop Harbor,6752.0,71890.0,3415.0,2014
Wonder Lake,3672.0,80461.0,1894.0,2014
Wood Dale,13778.0,62345.0,6313.0,2014
Woodridge,32926.0,76218.0,17478.0,2014
Woodstock,24781.0,56479.0,10227.0,2014
Worth,10787.0,55669.0,4932.0,2014
Yorkville,17055.0,80570.0,7602.0,2014
Zion,24400.0,50807.0,9713.0,2014
Albany Park,54018.0,50085.24833,16850.0,2015
Archer Heights,14106.0,43759.61538,4620.0,2015
Armour Square,14176.0,24101.0274,4599.0,2015
Ashburn,42821.0,67286.12167,15541.0,2015
Auburn Gresham,48934.0,29167.30769,13475.0,2015
Austin,97997.0,31912.19614,31388.0,2015
Avalon Park,9925.0,45896.0177,3317.0,2015
Avondale,40262.0,44727.12238,14324.0,2015
Belmont Cragin,78229.0,42490.18838,25062.0,2015
Beverly,21762.0,91282.7641,10441.0,2015
Bridgeport,32583.0,42572.76507,11805.0,2015
Brighton Park,43567.0,36517.27862,11765.0,2015
Burnside,2837.0,18685.56701,821.0,2015
Calumet Heights,13854.0,55702.47934,4529.0,2015
Chatham,31924.0,31976.0274,9549.0,2015
Chicago Lawn,55598.0,33981.25509,15228.0,2015
Clearing,23399.0,57734.20479,10010.0,2015
Douglas,19074.0,33574.76636,5953.0,2015
Dunning,42405.0,60369.97319,18354.0,2015
East Garfield Park,20696.0,25196.93654,6011.0,2015
East Side,23494.0,43198.92473,7270.0,2015
Edgewater,55548.0,44299.35012,24923.0,2015
Edison Park,10735.0,80230.38605,5370.0,2015
Englewood,28361.0,19168.25095,7542.0,2015
Forest Glen,18732.0,92331.67082,8892.0,2015
Fuller Park,2867.0,16965.64885,754.0,2015
Gage Park,39580.0,37321.42857,9748.0,2015
Garfield Ridge,34672.0,62946.80111,13756.0,2015
Grand Boulevard,22386.0,30523.25581,6736.0,2015
Greater Grand Crossing,32804.0,27865.13158,9395.0,2015
Hegewisch,9854.0,48177.57009,3971.0,2015
Hermosa,25265.0,38477.40668,6985.0,2015
Humboldt Park,52788.0,30580.13766,16063.0,2015
Hyde Park,26831.0,47864.17323,10200.0,2015
Irving Park,56841.0,48078.1759,20791.0,2015
Jefferson Park,27212.0,60412.17672,12546.0,2015
Kenwood,18021.0,37056.45161,6596.0,2015
Lake View,96541.0,73364.38704,53406.0,2015
Lincoln Park,65889.0,87382.17652,31523.0,2015
Lincoln Square,38667.0,61121.27548,19227.0,2015
Logan Square,73002.0,53148.97413,32596.0,2015
Lower West Side,35353.0,35689.75904,10306.0,2015
McKinley Park,16538.0,41618.85246,5149.0,2015
Montclare,12333.0,43738.73874,4607.0,2015
Morgan Park,23584.0,63541.66667,8330.0,2015
Mount Greenwood,18397.0,88023.88935,9340.0,2015
Near North Side,83215.0,81459.45725,38971.0,2015
Near South Side,21042.0,73763.17771,10805.0,2015
Near West Side,55877.0,67446.35673,24630.0,2015
New City,41689.0,32332.81087,10609.0,2015
North Center,34534.0,87888.9485,17942.0,2015
North Lawndale,36169.0,23066.28057,9247.0,2015
North Park,19218.0,58744.97992,6529.0,2015
Norwood Park,37140.0,68811.57635,17158.0,2015
O'Hare,13890.0,44300.0,5185.0,2015
Oakland,6247.0,21305.66802,1985.0,2015
Portage Park,63589.0,53556.6706,24338.0,2015
Pullman,6934.0,40818.45238,2402.0,2015
Riverdale,7006.0,14008.45865,1288.0,2015
Rogers Park,57165.0,39440.38929,22568.0,2015
Roseland,44495.0,37469.84318,12265.0,2015
South Chicago,29052.0,29748.40256,8098.0,2015
South Deering,15743.0,31482.21344,4591.0,2015
South Lawndale,69951.0,31515.70489,15077.0,2015
South Shore,51868.0,28501.86567,15544.0,2015
The Loop,28614.0,86313.82466,14051.0,2015
Uptown,54449.0,44430.06608,23879.0,2015
Washington Heights,26241.0,40418.5022,8061.0,2015
Washington Park,11530.0,19319.37173,3313.0,2015
West Elsdon,19543.0,46031.97674,5805.0,2015
West Englewood,34632.0,26435.67639,10361.0,2015
West Garfield Park,18724.0,25132.74336,5161.0,2015
West Lawn,33199.0,47639.27577,10676.0,2015
West Pullman,29808.0,35733.47107,9481.0,2015
West Ridge,73305.0,47048.12638,23969.0,2015
West Town,84559.0,69640.22706,39396.0,2015
Woodlawn,21869.0,24735.57692,6873.0,2015
Albany Park,52930.0,53029.6457,17570.0,2016
Archer Heights,13971.0,42211.53846,4612.0,2016
Armour Square,13907.0,23805.24862,4713.0,2016
Ashburn,42809.0,66017.96407,15903.0,2016
Auburn Gresham,47611.0,30000.0,14393.0,2016
Austin,99711.0,31434.91124,33030.0,2016
Avalon Park,10071.0,44583.33333,3392.0,2016
Avondale,39117.0,44447.3342,14908.0,2016
Belmont Cragin,79022.0,43223.47267,26623.0,2016
Beverly,21002.0,92814.37126,9789.0,2016
Bridgeport,31882.0,41819.06615,12907.0,2016
Brighton Park,44130.0,35754.06032,12260.0,2016
Burnside,2618.0,25480.76923,868.0,2016
Calumet Heights,13400.0,52761.62791,4533.0,2016
Chatham,31520.0,33976.74419,9993.0,2016
Chicago Lawn,56293.0,32789.91597,15976.0,2016
Clearing,24452.0,60284.62998,10014.0,2016
Douglas,19430.0,32530.76923,6383.0,2016
Dunning,43053.0,61181.99663,19146.0,2016
East Garfield Park,20262.0,22313.89578,6873.0,2016
East Side,23700.0,43720.62663,7270.0,2016
Edgewater,55276.0,44482.8156,26025.0,2016
Edison Park,10844.0,80651.1471,5978.0,2016
Englewood,27297.0,18959.58084,7205.0,2016
Forest Glen,18501.0,94822.69504,8720.0,2016
Fuller Park,2621.0,17218.04511,877.0,2016
Gage Park,40381.0,37940.95665,10538.0,2016
Garfield Ridge,34724.0,62042.22573,15179.0,2016
Grand Boulevard,22283.0,30917.72152,7696.0,2016
Greater Grand Crossing,32849.0,26076.61823,9094.0,2016
Hegewisch,9377.0,50000.0,3617.0,2016
Hermosa,24836.0,37494.63519,7919.0,2016
Humboldt Park,54515.0,32484.30493,17232.0,2016
Hyde Park,26705.0,48724.87437,10976.0,2016
Irving Park,56490.0,48858.74068,22402.0,2016
Jefferson Park,26975.0,62420.63492,12261.0,2016
Kenwood,18217.0,39631.57895,6751.0,2016
Lake View,97968.0,75959.74147,53440.0,2016
Lincoln Park,65951.0,89279.35943,31426.0,2016
Lincoln Square,39547.0,62536.71072,20199.0,2016
Logan Square,73163.0,55769.06506,34642.0,2016
Lower West Side,34979.0,35115.8147,11481.0,2016
McKinley Park,16449.0,42484.7561,5569.0,2016
Montclare,12887.0,41592.52669,5114.0,2016
Morgan Park,23220.0,61446.85039,9155.0,2016
Mount Greenwood,18357.0,89728.31268,9757.0,2016
Near North Side,84305.0,83626.34787,43261.0,2016
Near South Side,22021.0,74315.21739,10920.0,2016
Near West Side,58899.0,70925.36408,26284.0,2016
New City,41520.0,30769.00238,11961.0,2016
North Center,34815.0,91860.46512,16804.0,2016
North Lawndale,35623.0,23324.59207,10610.0,2016
North Park,18058.0,52590.23355,6666.0,2016
Norwood Park,36651.0,71071.15821,18172.0,2016
O'Hare,14329.0,43702.2293,5231.0,2016
Oakland,6473.0,24841.26984,2206.0,2016
Portage Park,64421.0,55212.82051,26218.0,2016
Pullman,6970.0,38286.51685,2709.0,2016
Riverdale,7190.0,14390.49587,1533.0,2016
Rogers Park,55053.0,37932.09877,21985.0,2016
Roseland,44267.0,38105.9719,12893.0,2016
South Chicago,28550.0,29518.18182,8364.0,2016
South Deering,15570.0,33625.49801,4580.0,2016
South Lawndale,72881.0,31385.56338,16728.0,2016
South Shore,51450.0,27391.3872,15654.0,2016
The Loop,30642.0,90436.02103,15196.0,2016
Uptown,54062.0,44288.14383,25628.0,2016
Washington Heights,26435.0,40607.31132,8647.0,2016
Washington Park,11647.0,22270.91633,3327.0,2016
West Elsdon,19192.0,44883.38192,6275.0,2016
West Englewood,34272.0,27061.45967,9495.0,2016
West Garfield Park,18894.0,25421.12299,5133.0,2016
West Lawn,33477.0,48891.99255,11090.0,2016
West Pullman,28171.0,34154.35746,8479.0,2016
West Ridge,73019.0,48066.74566,25864.0,2016
West Town,85211.0,71267.18213,43802.0,2016
Woodlawn,22817.0,25801.33556,7326.0,2016
Albany Park,52079.0,51968.8498402556,17570.0,2017
Archer Heights,13266.0,43393.536121673,4612.0,2017
Armour Square,14068.0,24336.4611260054,4713.0,2017
Ashburn,42752.0,63573.1622746186,15903.0,2017
Auburn Gresham,45842.0,29388.7147335423,14393.0,2017
Austin,97643.0,31634.3004211511,33030.0,2017
Avalon Park,9780.0,41351.3513513514,3392.0,2017
Avondale,39721.0,44663.323782235,14908.0,2017
Belmont Cragin,79159.0,43533.8484179544,26623.0,2017
Beverly,20815.0,90765.7657657658,9789.0,2017
Bridgeport,33878.0,43056.4924114671,12907.0,2017
Brighton Park,44202.0,36077.4410774411,12260.0,2017
Burnside,2601.0,23632.0754716981,868.0,2017
Calumet Heights,13732.0,49922.9452054795,4533.0,2017
Chatham,31392.0,32221.7465753425,9993.0,2017
Chicago Lawn,55551.0,33121.704745167,15976.0,2017
Clearing,24962.0,60623.9168110919,10014.0,2017
Douglas,20323.0,29184.7826086957,6383.0,2017
Dunning,43025.0,59737.3188405797,19146.0,2017
East Garfield Park,20656.0,21481.9277108434,6873.0,2017
East Side,23784.0,43421.0526315789,7270.0,2017
Edgewater,54873.0,46173.6641221374,26025.0,2017
Edison Park,11208.0,86299.7256515775,5978.0,2017
Englewood,26121.0,19853.7844036697,7205.0,2017
Forest Glen,18459.0,101558.603491272,8720.0,2017
Fuller Park,2543.0,20092.5925925926,877.0,2017
Gage Park,41202.0,38582.3170731707,10538.0,2017
Garfield Ridge,35570.0,60851.4190317195,15179.0,2017
Grand Boulevard,22373.0,30260.2040816327,7696.0,2017
Greater Grand Crossing,32346.0,26515.0523560209,9094.0,2017
Hegewisch,8985.0,50337.8378378378,3617.0,2017
Hermosa,25489.0,39156.9200779727,7919.0,2017
Humboldt Park,55011.0,32073.0247406225,17232.0,2017
Hyde Park,26893.0,51231.9538017324,10976.0,2017
Irving Park,56520.0,51996.7707212056,22402.0,2017
Jefferson Park,27264.0,60471.7484008529,12261.0,2017
Kenwood,17601.0,39157.6086956522,6751.0,2017
Lake View,98212.0,76854.2249145697,53440.0,2017
Lincoln Park,66959.0,94087.1644964124,31426.0,2017
Lincoln Square,40761.0,62933.9762611276,20199.0,2017
Logan Square,73702.0,59216.4009111617,34642.0,2017
Lower West Side,34410.0,36089.7435897436,11481.0,2017
McKinley Park,16336.0,43827.7511961722,5569.0,2017
Montclare,13024.0,43014.9812734082,5114.0,2017
Morgan Park,22924.0,60747.0119521912,9155.0,2017
Mount Greenwood,18783.0,89535.7497517378,9757.0,2017
Near North Side,85711.0,84975.8029036516,43261.0,2017
Near South Side,22401.0,78290.0165016502,10920.0,2017
Near West Side,61768.0,72143.1484502447,26284.0,2017
New City,40997.0,30420.9183673469,11961.0,2017
North Center,34623.0,92663.612565445,16804.0,2017
North Lawndale,35276.0,22383.4853090172,10610.0,2017
North Park,18442.0,51818.1818181818,6666.0,2017
Norwood Park,36247.0,71282.0512820513,18172.0,2017
O'Hare,13695.0,46638.418079096,5231.0,2017
Oakland,6422.0,28435.6725146199,2206.0,2017
Portage Park,64841.0,57030.7082714215,26218.0,2017
Pullman,6501.0,36728.3950617284,2709.0,2017
Riverdale,7090.0,14845.5056179775,1533.0,2017
Rogers Park,54402.0,37223.3400402414,21985.0,2017
Roseland,42505.0,37241.9724770642,12893.0,2017
South Chicago,28095.0,28503.8167938931,8364.0,2017
South Deering,15305.0,35056.0224089636,4580.0,2017
South Lawndale,73826.0,30700.557966522,16728.0,2017
South Shore,51451.0,26425.1730103806,15654.0,2017
The Loop,33442.0,93254.3823038397,15196.0,2017
Uptown,55137.0,45710.6455266138,25628.0,2017
Washington Heights,27116.0,44071.261682243,8647.0,2017
Washington Park,12081.0,22084.7457627119,3327.0,2017
West Elsdon,19219.0,44791.1227154047,6275.0,2017
West Englewood,32156.0,27399.3808049536,9495.0,2017
West Garfield Park,17742.0,23947.3684210526,5133.0,2017
West Lawn,32749.0,50384.167636787,11090.0,2017
West Pullman,27982.0,33898.4375,8479.0,2017
West Ridge,72211.0,46091.2343470483,25864.0,2017
West Town,86429.0,75509.481255449,43802.0,2017
Woodlawn,24150.0,23985.5570839065,7326.0,2017
Albany Park,51575.0,55560.9573672401,17805.0,2018
Archer Heights,13233.0,44948.5596707819,4679.0,2018
Armour Square,13699.0,26543.2098765432,4828.0,2018
Ashburn,43283.0,65498.638529612,16531.0,2018
Auburn Gresham,45770.0,29820.6751054852,14500.0,2018
Austin,97611.0,31919.5475885617,33535.0,2018
Avalon Park,9795.0,37670.9401709402,3262.0,2018
Avondale,38191.0,47714.2857142857,15135.0,2018
Belmont Cragin,78107.0,44795.7271364318,26150.0,2018
Beverly,20836.0,91006.600660066,9791.0,2018
Bridgeport,32789.0,42629.6542553191,13253.0,2018
Brighton Park,44231.0,38673.0969760167,12544.0,2018
Burnside,2442.0,24462.3655913979,842.0,2018
Calumet Heights,13306.0,48160.7142857143,4677.0,2018
Chatham,30991.0,32348.2142857143,9908.0,2018
Chicago Lawn,54265.0,33616.303219107,16455.0,2018
Clearing,25200.0,62908.1632653061,10539.0,2018
Douglas,20559.0,29398.2808022923,6667.0,2018
Dunning,43444.0,61589.5953757225,19324.0,2018
East Garfield Park,20225.0,24000.0,7101.0,2018
East Side,22982.0,42917.8272980501,7491.0,2018
Edgewater,55430.0,47636.4142538976,26824.0,2018
Edison Park,11008.0,90172.5304465494,6114.0,2018
Englewood,26020.0,20111.8925831202,7241.0,2018
Forest Glen,18651.0,108145.734597156,8533.0,2018
Fuller Park,2457.0,22456.1403508772,849.0,2018
Gage Park,40926.0,40195.0867052023,11117.0,2018
Garfield Ridge,35470.0,63129.2517006803,15315.0,2018
Grand Boulevard,22056.0,29686.7612293144,8011.0,2018
Greater Grand Crossing,32461.0,27723.2667450059,9334.0,2018
Hegewisch,9182.0,58333.3333333333,3666.0,2018
Hermosa,24450.0,39289.2768079801,7790.0,2018
Humboldt Park,56248.0,34806.7970204842,17329.0,2018
Hyde Park,26573.0,51482.7586206897,11144.0,2018
Irving Park,55417.0,55953.2467532468,21904.0,2018
Jefferson Park,26755.0,66013.0718954248,12107.0,2018
Kenwood,17074.0,41413.6490250696,7058.0,2018
Lake View,99876.0,82253.8667459845,58002.0,2018
Lincoln Park,67260.0,95416.4297896532,33819.0,2018
Lincoln Square,41483.0,66393.1806073522,20174.0,2018
Logan Square,73757.0,63596.7516590988,35266.0,2018
