OBJECTID,GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV
27,Gage Park,39193,39894,40926,14756,10039,8526,4966,1800,600,239,28.2690217391304,1432,37904,1352,191,47,40874,28884,19487,16456,3031,9397,292,15541,8558,3235,3018,701,29,N/A,1383,3284,3140,1913,22869,9616,8262,2586,1082,945,378,2698,3451,1836,983,606,146,40195.0867052023,9720,5298,4422,948,10668,5012,123,2582,2244,700,5.67806377257011,48,1171,5278,4171,,1344,3635,3474,1311,904,3304,1862,87,31,124482.044198895,11117,Manufacturing,Administration,Accommodation and Food Service,Retail Trade,Health Care,1708,1388,1223,1213,1066,4385,Wholesale Trade,Administration,Retail Trade,Accommodation and Food Service,Other Service,1196,1180,671,286,234,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,4824,1164,596,593,317,Outside of Chicago,Gage Park,Chicago Lawn,Ashburn,New City,1937,281,156,106,97,,,,,,,,,,,,,,,,16901,,,,,,,,,,0.89778021,1406.90760977567,408.123403484047,0.290085433221249,155.779918797258,0.110725052387837,18.572843571758821,0.01320118211224988,63.7481787727103,0.0453108493619385,96.2875094606474,0.0684391134084492,135.345192716692740,0.09620048379599945,482.224137339182,0.342754658506731,n/a,n/a,25.5994945131251,0.0181955761240121,21.2269311202497,0.0150876510815335,1587,1284,1360,5489,7742,1703,1978,1768,12,84,1672,4228,517,1209,2502,1829,690,587,552,1724,1244,419,61,20504,17133,37637,4810,32827,14519,4810,32458,83,72,37,32,42,2,75,26,4811,31079,2743,161,399,,,,,,,,,,,,,,,,,,
28,Garfield Ridge,36101,34513,35470,9143,6423,7688,6896,2891,1632,797,38.93219724438,16196,17229,1431,305,309,35218,28121,18017,16204,1813,10104,186,15542,11592,1378,2185,362,25,N/A,1074,4162,4826,1971,24296,4634,7342,5065,2009,3501,1745,2075,2699,2277,1408,2183,1366,63129.2517006803,12008,9716,2317,600,12633,10307,174,733,637,732,5.95488450433109,403,2079,8919,1232,,790,2659,6488,1926,770,2013,6676,912,90,197472.002635046,15315,Education,Manufacturing,Retail Trade,Public Administration,Health Care,1731,1609,1533,1513,1451,12634,Transportation,Administration,Accommodation and Food Service,Retail Trade,Manufacturing,5443,1511,1170,1129,737,Outside of Chicago,The Loop,Near North Side,Near West Side,Garfield Ridge,6524,3402,798,701,582,Outside of Chicago,Garfield Ridge,Clearing,Austin,Ashburn,7487,582,281,173,164,,,,,,,,,,,,,,,,17432,,,,,,,,,,1.765647941,2706.39986191819,1032.12762405997,0.381365532338019,95.9103600253403,0.0354383553498126,15.277344586008248,0.005644895568085157,100.910656513778,0.0372859376523383,55.4149392114171,0.0204755180456377,114.236870587631640,0.04220990112919427,1206.51327831023,0.445800081239697,n/a,n/a,44.1872876802699,0.0163269619918439,41.8215009435387,0.0154528166853723,3035,3309,1973,3691,8601,1084,3407,1343,52,108,1183,3290,1036,731,1523,2178,965,640,573,4969,3593,1102,274,25138,8159,33297,18024,15273,5793,18024,11721,2856,138,45,70,17,1,421,4,24878,5948,4419,328,528,,,,,,,,,,,,,,,,,,
29,Grand Boulevard,28006,21929,22056,6025,4319,4948,3559,1863,974,368,36.9643882825962,570,373,20503,89,521,21771,17138,10296,8252,2044,6842,334,7691,4233,494,2576,261,127,N/A,3974,4306,1220,343,14405,2177,3232,4050,1001,2028,1917,4525,1890,1343,796,754,535,29686.7612293144,9843,2194,7848,2202,12244,1088,662,706,2948,6827,5.02726653033401,3250,2747,2419,3828,,3546,3419,3803,1102,374,685,1108,329,72,194917.582417582,8011,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1447,1030,819,712,688,4112,Education,Health Care,Management,Retail Trade,Accommodation and Food Service,1438,1062,512,278,244,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,2008,1979,735,588,184,Outside of Chicago,Grand Boulevard,South Shore,Roseland,Chatham,1423,154,149,128,106,,,,,,,,,,,,,,,,9140,,,,,,,,,,3.993456955,1113.23468990329,62.3469595044337,0.0560052251963601,255.158471603464,0.22920456388727,7.311707537710506,0.006567983915723747,42.3507279036989,0.0380429466381237,112.6449431418,0.101187058006238,8.173339553368495,0.007341973464803324,378.135192385411,0.339672483991908,n/a,n/a,22.5087966128067,0.0202192734532573,224.604551660594,0.201758491446316,4819,2241,1287,1496,4639,1554,5204,3674,263,837,2574,2376,257,614,1505,1338,389,587,362,2058,1392,499,167,19850,487,20337,19500,837,236,19500,433,10,5,19,0,8,0,180,182,173,236,27370,21,206,,,,,,,,,,,,,,,,,,
30,Greater Grand Crossing,38619,32602,32461,8759,7099,5931,6334,2221,1325,792,36.008391987006,431,387,31301,5,337,31919,25501,14357,10929,3428,11144,463,9973,4983,721,3975,229,65,N/A,4702,5204,1782,451,20955,3208,6402,6363,1750,2221,1011,5606,3030,1758,966,525,254,27723.2667450059,12139,4006,8133,3450,15589,4555,253,3952,2485,4333,5.62496937025239,346,1406,4873,8964,,3066,5796,4497,1713,517,2435,1443,35,84,120646.676300578,9334,Health Care,Administration,Education,Retail Trade,Accommodation and Food Service,1972,995,984,917,841,3321,Health Care,Education,Retail Trade,Accommodation and Food Service,Wholesale Trade,811,702,454,328,296,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,2997,1683,770,553,197,Outside of Chicago,Greater Grand Crossing,South Shore,Auburn Gresham,Chatham,1186,181,133,111,89,,,,,,,,,,,,,,,,10175,,,,,,,,,,1.348821508,2269.35647214377,375.530991543157,0.165479066930551,327.665989460103,0.144387183539557,21.210590598359460,0.009346522178740248,81.6996842231013,0.036001256402844,255.313563096995,0.112504829554526,41.081071220411872,0.018102520130565583,992.347006332144,0.437281237440284,n/a,n/a,34.784530361441,0.015327927008568,139.723045308057,0.0615694568143655,4355,3440,2085,2259,7043,2452,5096,3592,73,216,3303,3958,579,1050,2329,1717,1009,440,268,1711,1342,299,70,29659,530,30189,29237,952,417,29237,482,6,5,0,0,1,0,155,303,146,276,37779,26,392,,,,,,,,,,,,,,,,,,
31,Hegewisch,9781,9426,9182,2027,1791,1547,2499,600,563,155,42.4479166666667,4114,4604,447,0,17,9162,7558,4568,4277,291,2990,3,4274,3054,420,708,91,0,N/A,434,1415,1379,355,6716,1004,2394,1673,473,750,422,930,661,563,558,539,331,58333.3333333333,3583,2673,909,312,3895,2787,17,642,129,139,5.87016337059329,207,696,1764,1229,,341,1085,1873,437,159,1616,975,72,10,132341.772151899,3666,Education,Health Care,Manufacturing,Retail Trade,Public Administration,437,390,375,375,361,2451,Manufacturing,Wholesale Trade,Retail Trade,Accommodation and Food Service,Finance,1091,547,273,118,89,Outside of Chicago,The Loop,Near North Side,Near West Side,Hegewisch,1625,790,185,124,113,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,1622,182,113,41,36,,,,,,,,,,,,,,,,15989,,,,,,,,,,2.96392943,3350.91251756315,374.468539320223,0.111751213246398,34.0654533346681,0.0101660228836535,6.812905480337836,0.002033149312203563,48.0146585060049,0.0143288308048466,17.4174576728836,0.00519782524359958,301.356200521067480,0.08993257775055834,1562.02808405214,0.46615006386024,n/a,n/a,579.794993824757,0.173026001361085,426.954224851069,0.127414315537416,1095,1295,347,847,2278,204,1305,709,52,86,571,714,197,243,273,563,423,98,42,1413,1218,191,3,7579,1218,8797,5693,3105,959,5693,2697,194,12,0,78,0,0,123,0,6553,2820,130,32,246,,,,,,,,,,,,,,,,,,
32,Hermosa,26908,25010,24450,7207,6019,4912,4045,1322,686,259,32.3754588358679,1900,21321,502,384,343,24439,18588,12812,11721,1091,5776,304,11258,7017,1303,2165,557,216,N/A,1247,2746,2008,981,15061,6185,3712,2520,809,1222,613,2046,2161,1033,836,625,281,39289.2768079801,6982,2959,4023,792,7774,2327,102,2396,1973,968,5.7658202337767,83,624,1824,5243,,1061,3109,2493,741,370,519,1902,468,70,219250.363901019,7790,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,Administration,1043,925,883,832,756,3288,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Other Service,2230,190,161,117,111,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,3243,878,501,328,271,Outside of Chicago,Belmont Cragin,Hermosa,Humboldt Park,Logan Square,1484,216,173,111,107,,,,,,,,,,,,,,,,13257,,,,,,,,,,0.704651509,748.440299540338,166.986319868129,0.223112411197907,146.330089507682,0.195513375746272,14.408790346506315,0.019251756426471988,26.352190291824,0.0352094753689886,19.073402948825,0.0254842008915595,111.649166687351840,0.14917578163004094,245.550703378858,0.328083219903666,n/a,n/a,15.5267808158333,0.0207455168105849,2.56285569532801,0.00342426202450885,1381,1588,1111,2902,5208,903,1774,1496,0,0,1496,2623,147,555,1921,1033,291,325,417,1742,1109,537,96,13864,8557,22421,3677,18744,8632,3677,17949,408,0,130,0,31,80,146,0,3086,22574,649,319,280,,,,,,,,,,,,,,,,,,
33,Humboldt Park,65836,56323,56248,18686,14091,10569,8283,2875,1389,355,29.9249116607774,3258,30847,20912,305,926,55870,40938,24990,21325,3665,15948,452,20525,11123,2495,5202,1084,621,N/A,4421,7189,3761,1166,32584,9743,10490,6241,1570,3298,1242,6226,4513,2464,1778,1038,518,34806.7970204842,16537,6050,10487,2981,19518,4041,262,6639,5355,3204,5.68712006079027,857,1517,3712,13432,,2670,7939,6448,1706,755,2591,2645,604,203,163710.191082803,17329,Health Care,Retail Trade,Administration,Accommodation and Food Service,Manufacturing,2597,2150,1974,1864,1733,9804,Manufacturing,Retail Trade,Administration,Health Care,Wholesale Trade,1730,1192,1166,1059,831,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,6936,2048,1254,957,888,Outside of Chicago,Humboldt Park,Austin,West Town,Logan Square,3993,432,345,344,332,,,,,,,,,,,,,,,,10502,,,,,,,,,,1.892664065,2306.72352216607,281.876462380628,0.122197766516873,425.752555348301,0.184570257881841,38.524299182071090,0.016700874123785698,136.180294813288,0.0590362449182517,103.158374261302,0.0447207362607694,322.090412298614640,0.13963113013048226,826.4534883149,0.358280253516833,n/a,n/a,18.4925411736422,0.00801680001783538,154.195094393322,0.0668459366333288,3892,3796,2692,6157,11661,3431,4876,4072,108,200,3764,5618,601,1138,3879,2454,956,829,669,3334,2479,615,240,41374,9980,51354,25928,25426,10609,25928,24694,207,15,152,33,25,89,167,44,2184,31607,31207,239,599,,,,,,,,,,,,,,,,,,
34,Hyde Park,29920,25681,26573,5514,9378,4159,4004,2031,1072,415,31.3210357470211,12539,2101,7621,3249,1063,23801,23529,14079,13134,939,9450,869,11834,3297,509,3452,4396,180,N/A,4616,6076,1629,208,17011,583,1209,2036,523,4563,8097,3756,2358,2312,1161,1283,1659,51482.7586206897,12529,4479,8050,1675,14204,829,1009,206,1100,11019,4.64507866813026,226,2406,3415,8157,,6360,3446,2557,1359,482,1167,1401,998,834,259111.111111111,11144,Education,Health Care,Accommodation and Food Service,Professional,Retail Trade,3672,1176,855,833,756,17728,Education,Accommodation and Food Service,Health Care,Retail Trade,Real Estate,12971,1291,1263,795,481,Outside of Chicago,Hyde Park,The Loop,Near North Side,Near West Side,3063,3010,1955,724,503,Outside of Chicago,Hyde Park,Kenwood,Lake View,West Town,5670,3010,776,587,449,,,,,,,,,,,,,,,,8085,,,,,,,,,,15.58916719,1032.26186667911,98.5925868106589,0.0955112166720261,177.606989036786,0.172056136887208,6.437151972925154,0.006235968004547234,39.949156851175,0.0387006031518875,174.923655281808,0.169456666886818,n/a,n/a,251.500997648181,0.243640694058848,n/a,n/a,278.702151283205,0.269991714582867,4.54917779437377,0.00440699975579735,6567,3369,1430,1163,4538,695,7991,2520,11,63,2446,2897,220,592,2085,2308,743,928,637,4059,2770,956,333,20419,5034,25453,19142,6311,1464,19142,1768,290,1539,125,180,207,539,1207,456,13020,1230,11290,3366,1014,,,,,,,,,,,,,,,,,,
35,Irving Park,58643,53359,55417,12837,14896,13205,9387,2990,1592,510,34.9788720248361,22975,24733,1543,4579,1587,54998,44603,31521,29592,1905,13082,1752,27393,15373,2676,7670,1331,343,N/A,3165,9961,5829,1473,38803,6439,8484,6888,2446,9833,4713,3592,5476,3732,2619,2689,2320,55953.2467532468,20428,9273,11155,2019,22447,5997,674,4843,3968,6874,5.56736025392347,1371,1747,3761,15568,,4789,9253,5454,2062,889,1333,3814,2704,1374,279473.886328725,21904,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2829,2183,2144,2034,1830,9769,Health Care,Wholesale Trade,Manufacturing,Retail Trade,Accommodation and Food Service,1553,1404,987,923,817,Outside of Chicago,The Loop,Near North Side,Near West Side,Irving Park,8085,3915,1921,1160,611,Outside of Chicago,Irving Park,Belmont Cragin,Portage Park,Albany Park,4130,611,384,331,281,,,,,,,,,,,,,,,,15815,,,,,,,,,,1.180333398,2057.19425333848,512.790852564746,0.249267103353304,403.748364259522,0.19626166250674,47.231894366220196,0.022959375027210367,104.200291898683,0.0506516541787843,71.1176360753051,0.0345702093810019,68.495533878732587,0.03329560821374833,743.306158164793,0.361320355118887,n/a,n/a,94.6255121338272,0.0459973636326593,11.6780099966512,0.00567666858766486,5935,6178,3534,4781,12512,1588,7916,2141,62,79,2000,6409,588,1740,4081,3708,1257,1460,991,7588,4719,2057,812,34119,17149,51268,24519,26749,11849,24519,19044,1939,285,1836,780,74,708,1641,442,25912,25401,1121,4362,1847,,,,,,,,,,,,,,,,,,
36,Jefferson Park,25859,25448,26755,5724,5405,5792,5734,2246,1317,537,39.9966666666667,17155,6125,274,2597,604,26722,21969,15077,13958,1119,6892,428,13223,9106,1362,2458,240,57,N/A,1262,4251,3475,1278,19585,2476,5109,3779,1511,4432,2278,1991,1954,1738,1404,1897,1282,66013.0718954248,10266,6368,3898,779,11045,5271,124,2411,1588,1646,5.72020972354623,426,1201,4919,4499,,1651,4010,3722,1265,397,561,3122,2475,182,281345.454545455,12107,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,1536,1272,1174,1031,926,4832,Manufacturing,Accommodation and Food Service,Administration,Wholesale Trade,Construction,790,633,515,403,381,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,5895,2105,645,412,306,Outside of Chicago,Jefferson Park,Portage Park,Belmont Cragin,Norwood Park,2515,272,179,133,123,,,,,,,,,,,,,,,,14974,,,,,,,,,,0.850043272,1489.16808585483,501.38467596015,0.336687765956479,176.249261290829,0.118354175707208,10.284764244474939,0.006906382390387537,57.910254202128,0.0388876546255593,26.2878060290635,0.0176526788874698,50.524502718716562,0.03392800530620676,525.503110033217,0.352883677151569,n/a,n/a,133.520670261081,0.0896612488068704,7.50304111517275,0.00503841116825019,3293,2988,1539,2446,6389,386,3877,1350,46,78,1226,2503,271,672,1560,1707,814,355,538,4572,3147,1059,366,17250,7729,24979,13956,11023,4859,13956,4210,3354,351,476,344,134,908,1099,147,21101,2881,81,1237,559,,,,,,,,,,,,,,,,,,
37,Kenwood,18363,17841,17074,3219,4818,3085,3132,1481,963,376,37.1240441801189,2925,503,11690,1440,516,16851,14427,9125,7945,1180,5302,566,7117,3547,239,2631,550,150,N/A,3307,4277,1258,275,12355,992,1491,2199,838,2942,3893,3218,1867,1135,838,1070,989,41413.6490250696,9117,2807,6310,1315,10432,724,713,160,680,8132,4.45762108262108,848,3455,2896,3233,,4402,3099,1903,742,286,808,913,510,476,228462.837837838,7058,Education,Health Care,Administration,Accommodation and Food Service,Retail Trade,1475,1050,591,548,531,1081,Retail Trade,Real Estate,Education,Other Service,Accommodation and Food Service,220,199,168,143,122,Outside of Chicago,The Loop,Hyde Park,Near North Side,Near West Side,1781,1726,776,634,415,Outside of Chicago,Kenwood,South Shore,Hyde Park,Grand Boulevard,340,69,45,38,33,,,,,,,,,,,,,,,,9199,,,,,,,,,,6.805665299,666.520061310196,133.684397949438,0.2005707040335,128.125788170289,0.192230955387042,0.459894808147570,0.0006899939474342947,26.0420824380141,0.0390717158412645,54.0918224044302,0.0811555803708301,0.607836344294836,0.0009119550626878304,179.33306020386,0.269058758488589,n/a,n/a,123.73054599408,0.185636641980227,20.4446329976429,0.0306736948884244,4975,2427,1057,658,3404,890,5713,2197,96,278,1823,2346,133,534,1679,1135,302,430,403,2865,1928,694,243,14069,2059,16128,13955,2173,669,13955,351,79,770,90,40,135,172,266,270,2915,301,13900,785,462,,,,,,,,,,,,,,,,,,
38,Lake View,94817,94368,99876,11520,50442,19260,10933,4298,2459,964,30.8878248974008,78859,8099,3320,6735,2863,99471,89426,74417,71976,2399,15009,4732,66227,21512,2714,35690,5095,1216,N/A,18797,24212,8184,1401,76027,1542,4554,7238,2471,35819,24403,7383,8067,8896,6724,9746,11778,82253.8667459845,52594,19083,33511,4958,57552,3905,1588,3380,8651,39964,4.46353684859698,5327,12028,16016,24181,,26113,18883,8784,2664,1108,1671,5237,5906,5507,362240.950538823,58002,Professional,Finance,Health Care,Education,Accommodation and Food Service,11808,6757,5688,5196,5009,22764,Health Care,Accommodation and Food Service,Retail Trade,Other Service,Professional,5687,5432,3380,1604,1461,The Loop,Outside of Chicago,Near North Side,Near West Side,Lake View,17876,14280,8747,4418,2589,Outside of Chicago,Lake View,Uptown,Edgewater,West Town,7597,2589,946,745,680,,,,,,,,,,,,,,,,8027,,,,,,,,,,2.691740427,1994.17941570358,220.709785198737,0.110676994988872,632.357334146586,0.317101525152129,92.329567484968138,0.046299528897901523,124.109727161407,0.0622359884893401,96.3672153833623,0.0483242453635309,16.474278219374877,0.008261181561520883,623.441152091808,0.312630421908075,n/a,n/a,178.076093985575,0.0892979300574851,10.3142620317593,0.00517218358114498,25582,17600,5313,4099,15594,869,37000,4862,173,424,4265,9339,449,2069,6821,8764,1700,3774,3290,28158,18207,7691,2260,82162,12453,94615,79899,14716,3734,79899,5107,1565,852,605,409,297,1326,3799,756,75363,8268,4193,5143,1850,,,,,,,,,,,,,,,,,,
39,Lincoln Park,64320,64116,67260,11996,29962,11482,8001,3584,1700,535,30.0838252656434,53151,4675,3134,4243,2057,63489,58341,45639,44037,1602,12702,2893,40575,14862,1833,18786,3932,1162,N/A,9858,15636,6059,855,46982,1205,2571,3321,1000,22458,16427,4914,3786,4631,3518,5727,9832,95416.4297896532,32408,13680,18728,3030,35438,3236,3195,1668,4876,22409,4.46917704221075,3040,11662,6077,14659,,15447,10574,5806,2372,1239,479,2583,3517,5677,469993.346640053,33819,Professional,Finance,Health Care,Education,Accommodation and Food Service,7305,4255,3119,2973,2347,28572,Health Care,Retail Trade,Accommodation and Food Service,Transportation,Other Service,7947,5685,4146,2169,1895,The Loop,Outside of Chicago,Near North Side,Near West Side,Lincoln Park,11097,8899,4779,2752,1558,Outside of Chicago,Lake View,Lincoln Park,West Town,Logan Square,11136,1746,1558,1005,889,,,,,,,,,,,,,,,,8725,,,,,,,,,,4.426340653,2024.4643432227,307.458403717682,0.151871483806055,372.189366075538,0.183845849062008,63.643921488734506,0.031437412914579306,249.678250603573,0.123330525153195,105.189178819887,0.0519590177876083,47.348767245753159,0.023388293997008508,532.91013959236,0.26323513248153,n/a,n/a,318.295752875056,0.157224677204425,27.750562804113,0.0137076075935907,15378,10391,3675,2964,11084,844,21324,3777,83,482,3212,4380,210,788,3382,4602,908,1971,1723,19004,11822,5395,1787,56046,7277,63323,54755,8568,2131,54755,2680,1246,578,236,230,329,433,2635,201,54341,3254,3323,2325,1077,,,,,,,,,,,,,,,,,,
40,Lincoln Square,44574,39493,41483,7306,13696,10180,6588,2228,976,509,34.7916666666667,26554,7284,1394,4608,1643,40820,35160,26812,25161,1651,8348,1508,23161,10932,1514,8799,1675,241,N/A,3828,9473,4360,771,31977,2819,3687,4524,1527,11589,7831,3263,3987,3043,2512,2745,2882,66393.1806073522,18432,7164,11268,1217,19649,2966,419,2980,3526,9747,5.19730166051661,1554,2100,5858,10137,,6478,6904,4603,1119,545,724,2102,2329,1927,354372.623574144,20174,Health Care,Professional,Education,Accommodation and Food Service,Finance,2721,2691,2150,1963,1627,7029,Health Care,Accommodation and Food Service,Retail Trade,Manufacturing,Administration,2020,1005,627,549,471,Outside of Chicago,The Loop,Near North Side,Near West Side,Lake View,6423,4428,2349,1132,623,Outside of Chicago,Lincoln Square,West Ridge,Albany Park,Edgewater,2687,620,257,233,207,,,,,,,,,,,,,,,,10678,,,,,,,,,,1.92710545,1638.02406239754,224.261114999624,0.136909536402889,346.592331343077,0.211591721574454,34.933512484003877,0.021326617408093745,54.4379167032144,0.0332338931722008,382.880873886588,0.233745573508959,41.365662497596922,0.025253391233490692,456.352388491388,0.278599319123209,n/a,n/a,82.6672682880755,0.0504676763826516,14.5329937039749,0.00887227119405272,6941,6047,2969,2475,9002,750,9430,2197,0,20,2177,4753,226,1267,3260,3025,943,1300,782,8095,5519,1953,623,28376,9978,38354,24565,13789,5140,24565,5483,1444,290,1339,637,322,1444,1937,893,23716,11831,1342,5921,1764,,,,,,,,,,,,,,,,,,
41,Logan Square,82715,72791,73757,16169,27247,16959,8527,2903,1500,452,31.7367974443446,32717,33784,3542,2143,1571,73293,60283,45324,43008,2302,14959,2510,39846,19633,2384,13803,3466,560,N/A,6428,13723,7458,1322,51966,6607,10194,6897,2631,16396,9241,5890,5845,4920,3541,4479,4282,63596.7516590988,28957,10700,18257,3300,32257,4782,947,6827,8513,11127,5.47385747482572,3061,3050,3606,22540,,7554,13142,8612,2123,826,679,3429,4151,2317,347124.600638978,35266,Professional,Health Care,Accommodation and Food Service,Education,Retail Trade,4332,3736,3555,3208,3100,16508,Retail Trade,Accommodation and Food Service,Health Care,Administration,Manufacturing,3219,2220,1849,1440,1411,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,11262,7217,3573,2493,1530,Outside of Chicago,Logan Square,West Town,Lake View,Belmont Cragin,6151,1476,711,619,543,,,,,,,,,,,,,,,,10946,,,,,,,,,,0.972002911,2297.00566290634,278.059221532237,0.121052910762273,621.249754930127,0.270460698013289,76.529192031662802,0.03331693659598227,188.191615602495,0.081929103894494,70.7771064832606,0.0308127696967487,125.225070169577930,0.054516657138378104,859.480529063324,0.37417431874149,n/a,n/a,41.4356212328816,0.0180389721723429,36.0575518607762,0.0156976329850025,8820,10593,4145,5399,14362,2477,14595,3974,40,269,3665,7164,449,1819,4896,4873,1350,2110,1413,12268,7808,3331,1129,55212,13195,68407,43025,25382,12132,43025,22457,961,126,257,64,158,171,981,207,21742,53833,4290,1087,1763,,,,,,,,,,,,,,,,,,
